name,games_played,minutes_played,points_scored,goals_scored,goals_attempted,free_throws_scored,free_throws_attempted,assists,3_point_scored,3_point_attempted,offensive_rebounds,defensive_rebounds,steals,blocks,turnover,5yrs
Yi Jianlian,66,25,8.6,3.3,7.9,1.8,2.2,0.8,0.1,0.3,1.6,3.6,0.5,0.8,1.4,0
Jamario Moon,78,27.8,8.5,3.6,7.4,0.8,1.1,1.2,0.5,1.6,1.2,5,1,1.4,0.7,0
Sean Williams,73,17.5,5.6,2.2,4.2,1.1,1.8,0.4,0,0,1.6,2.8,0.4,1.5,1,0
Glen Davis,69,13.6,4.5,1.6,3.2,1.4,2.2,0.4,0,0,1.4,1.6,0.4,0.3,0.9,1
Oleksiy Pecherov,35,9.1,3.6,1.3,3.6,0.6,0.9,0.2,0.5,1.7,0.6,1.3,0.2,0.1,0.5,0
Jermareo Davidson,38,8.5,3.2,1.3,3.3,0.5,0.7,0.3,0,0,0.6,1.1,0.2,0.4,0.4,0
Andrea Bargnani,65,25.1,11.6,4.1,9.6,1.8,2.2,0.8,1.5,4.1,0.8,3.1,0.5,0.8,1.6,1
Randy Foye,82,22.9,10.1,3.7,8.4,2,2.3,2.8,0.8,2.3,0.6,2.1,0.6,0.3,1.9,1
Walter Herrmann,48,19.5,9.2,3.6,6.9,0.9,1.1,0.5,1.1,2.4,0.6,2.3,0.4,0.1,0.7,0
Jorge Garbajosa,67,28.5,8.5,3.3,7.9,0.9,1.2,1.9,1,2.9,0.7,4.2,1.2,0.2,1,0
Kelenna Azubuike,41,16.3,7.1,2.4,5.4,1.5,1.9,0.7,0.8,1.9,0.6,1.7,0.5,0.2,1,1
Rodney Carney,67,17.4,6.6,2.7,5.9,0.8,1.3,0.4,0.4,1.1,0.6,1.3,0.6,0.3,0.6,0
Ersan Ilyasova,66,14.7,6.1,2.1,5.5,1.1,1.3,0.7,0.8,2.2,0.9,2,0.4,0.3,0.8,1
JJ Redick,42,14.8,6,1.9,4.6,1.3,1.4,0.9,0.9,2.3,0.2,1,0.3,0,0.5,1
Renaldo Balkman,68,15.6,4.9,2,4,0.8,1.3,0.6,0.1,0.4,1.4,2.9,0.8,0.6,0.7,1
Mickael Gelabale,70,17.7,4.6,1.7,3.8,0.9,1.2,0.8,0.2,0.7,0.8,1.6,0.3,0.3,0.7,1
Yakhouba Diawara,64,18.4,4.4,1.6,4.6,0.5,0.8,0.9,0.8,2.7,0.4,1.3,0.5,0.1,0.6,0
Leon Powe,63,11.4,4.2,1.3,2.8,1.7,2.3,0.2,0,0,1.5,1.9,0.2,0.3,0.7,0
Sergio Rodriguez,67,12.9,3.7,1.5,3.6,0.3,0.4,3.3,0.4,1.3,0.3,1.1,0.5,0,1.1,1
Thabo Sefolosha,71,12.2,3.6,1.5,3.6,0.3,0.6,0.8,0.2,0.6,0.5,1.7,0.5,0.2,0.8,1
Bobby Jones,44,7.6,2.5,1,2.1,0.5,0.9,0.4,0,0.2,0.5,0.8,0.3,0,0.4,0
Dee Brown,49,9.2,1.9,0.7,2,0.5,0.8,1.7,0.1,0.6,0.2,0.7,0.4,0.1,0.6,0
Chris Paul,78,36,16.1,5.2,12.1,5.1,6,7.8,0.6,2.3,0.8,4.3,2.2,0.1,2.3,1
Salim Stoudamire,61,20.3,9.7,3.3,8.1,1.6,1.8,1.2,1.3,3.5,0.2,1.7,0.4,0,1.3,0
Andrew Bogut,82,28.6,9.4,3.9,7.4,1.5,2.4,2.3,0,0,2.3,4.7,0.6,0.8,1.5,1
Sarunas Jasikevicius,75,20.8,7.3,2.3,5.7,1.6,1.8,3,1.1,3.1,0.3,1.8,0.5,0.1,1.5,0
Joey Graham,80,19.8,6.7,2.5,5.2,1.4,1.7,0.8,0.4,1.1,0.7,2.3,0.5,0.2,1.2,1
Francisco Garcia,67,19.4,5.6,1.9,4.9,1.2,1.5,1.4,0.6,2,0.6,2.2,0.6,0.7,1.1,1
Jose Calderon,64,23.2,5.5,2.1,4.9,1.2,1.4,4.5,0.1,0.7,0.5,1.7,0.7,0.1,1.6,1
Johan Petro,68,18.9,5.2,2.3,4.4,0.7,1.1,0.2,0,0,1.6,2.8,0.4,0.8,0.9,1
David Lee,67,16.9,5.1,2,3.4,1.1,1.8,0.6,0,0,1.6,2.9,0.4,0.3,0.8,1
Linas Kleiza,61,8.5,3.5,1.3,2.8,0.9,1.3,0.2,0,0.2,0.6,1.3,0.2,0.2,0.3,1
CJ Miles,23,8.8,3.4,1.2,3.3,0.8,1,0.7,0.2,0.9,0.8,0.9,0.3,0.1,0.4,1
Orien Greene,80,15.4,3.2,1.3,3.2,0.6,0.9,1.6,0.1,0.5,0.5,1.4,1,0.1,1.4,1
Sergei Monia,26,13.2,3,1.1,3.3,0.4,0.5,0.7,0.3,1.3,0.4,1.6,0.3,0.2,0.5,0
Esteban Batista,57,8.7,1.8,0.6,1.4,0.6,0.9,0.1,0,0,1.1,1.5,0.3,0.2,0.7,0
Fabricio Oberto,59,8.3,1.7,0.7,1.6,0.3,0.5,0.5,0,0,1,1.1,0.2,0.2,0.5,1
Lawrence Roberts,33,5.5,1.5,0.6,1.3,0.3,0.7,0.2,0,0.1,0.8,0.7,0.2,0.1,0.2,0
Ben Gordon,82,24.4,15.1,5.3,12.9,2.8,3.3,2,1.6,4,0.7,2,0.6,0.1,2.3,1
Luol Deng,61,27.3,11.7,4.6,10.6,2,2.7,2.2,0.5,1.9,1.5,3.8,0.8,0.4,1.9,1
JR Smith,76,24.4,10.3,3.9,9.8,1.5,2.1,1.9,1.1,3.7,0.5,1.5,0.7,0.1,1.4,1
Nenad Krstic,75,26.2,10,3.7,7.6,2.5,3.4,1,0,0,2.1,3.2,0.4,0.8,1.5,1
Andres Nocioni,81,23.4,8.4,3,7.4,2.1,2.7,1.5,0.3,1.2,0.9,3.9,0.5,0.4,1.7,1
Matt Bonner,82,19,7.2,3,5.6,0.7,0.9,0.6,0.5,1.1,1.3,2.2,0.5,0.2,0.5,1
Chris Duhon,82,26.6,5.9,2.1,6,0.6,0.8,4.9,1.1,3.2,0.3,2.3,1,0,1.5,1
Beno Udrih,80,14.4,5.9,2.2,4.9,0.8,1.1,1.9,0.7,1.8,0.2,0.8,0.5,0.1,1,1
Quinton Ross,78,21.2,5.1,2.1,4.8,0.9,1.4,1.4,0,0.1,0.8,1.9,0.7,0.3,0.7,1
Kirk Snyder,68,13.3,5,1.8,4.8,0.9,1.4,0.5,0.4,1.3,0.7,1,0.4,0.3,0.9,0
Anderson Varejao,54,16,4.9,1.8,3.6,1.3,2.4,0.5,0,0,2,2.7,0.8,0.7,0.5,1
Delonte West,39,12.9,4.5,1.7,4,0.5,0.7,1.4,0.6,1.7,0.4,1.3,0.5,0.2,0.6,1
Rafael Araujo,59,12.5,3.3,1.3,3,0.7,0.9,0.3,0,0.1,1,2.1,0.4,0.1,0.9,0
Sasha Vujacic,35,11.5,2.9,0.9,3.3,0.5,0.5,1.5,0.5,1.8,0.4,1.4,0.3,0.1,0.4,1
Mario Kasun,45,7.9,2.6,1,2.2,0.5,1,0.2,0,0,1.2,1.7,0.2,0.3,0.6,0
Pape Sow,27,9.4,2.3,0.9,2.1,0.6,1,0.1,0,0,0.7,1.4,0.4,0.1,0.4,0
Luis Flores,16,4.8,2.2,0.9,1.8,0.1,0.1,0.7,0.3,0.6,0.1,0.1,0.1,0,0.7,0
Marquis Daniels,56,18.5,8.5,3.6,7.3,1.1,1.4,2.1,0.2,0.6,1.2,1.4,0.9,0.2,0.8,1
Leandro Barbosa,70,21.4,7.9,3,6.7,0.7,0.9,2.4,1.2,3,0.3,1.4,1.3,0.1,1.7,1
Udonis Haslem,75,24,7.3,2.7,6,1.9,2.4,0.7,0,0,2.5,3.8,0.4,0.3,1,1
Raul Lopez,82,19.7,7,2.7,6.3,1.2,1.4,3.7,0.3,1,0.3,1.6,0.8,0,2.1,0
Steve Blake,75,18.5,5.9,2.1,5.4,0.7,0.9,2.8,1,2.7,0.2,1.3,0.8,0.1,1.7,1
Mickael Pietrus,53,14.1,5.3,1.8,4.4,1,1.4,0.5,0.7,2,0.9,1.3,0.6,0.2,0.8,1
Sasha Pavlovic,79,14.5,4.8,1.9,4.8,0.8,1.1,0.8,0.2,0.9,0.6,1.5,0.5,0.2,0.8,1
Darius Songaila,73,13.4,4.6,1.8,3.7,1,1.2,0.7,0,0,1.2,1.8,0.6,0.2,0.6,1
Maciej Lampe,21,10.7,4.6,2,4.2,0.5,0.6,0.4,0,0.2,0.4,1.7,0.1,0.1,0.7,0
Boris Diaw,76,25.3,4.5,1.8,4.1,0.7,1.2,2.4,0.1,0.3,1.5,3,0.8,0.5,1.7,1
Michael Sweetney,42,11.8,4.3,1.6,3.3,1,1.4,0.3,0,0,1.6,2.1,0.4,0.3,0.8,0
Linton Johnson,41,17.8,4.2,1.8,5,0.5,0.9,0.7,0.2,0.8,1.4,3,0.9,0.8,0.9,1
Zarko Cabarkapa,49,11.7,4.1,1.7,4,0.7,1.1,0.8,0.1,0.7,0.5,1.5,0.2,0.3,1.1,0
Jason Kapono,41,10.4,3.5,1.3,3.1,0.5,0.6,0.3,0.5,1.1,0.5,0.9,0.3,0,0.5,1
Francisco Elson,62,14.2,3.5,1.5,3.2,0.5,0.7,0.5,0,0,1,2.2,0.6,0.6,0.6,1
Richie Frahm,54,8.6,3.4,1.2,2.6,0.4,0.5,0.4,0.6,1.7,0.2,0.8,0.3,0.1,0.1,0
Zaza Pachulia,59,11.2,3.3,1.2,3,1,1.5,0.2,0,0,1.2,1.8,0.4,0.2,0.6,1
Zoran Planinic,49,9.6,3.1,1.1,2.6,0.8,1.2,1.4,0.2,0.7,0.3,0.8,0.3,0.1,0.7,0
Reece Gaines,38,9.5,1.8,0.7,2.3,0.4,0.7,1.1,0.1,0.3,0.2,0.8,0.3,0.1,0.5,0
Matt Carroll,16,4.2,1.2,0.4,1,0.3,0.4,0.1,0.1,0.2,0.1,0.3,0.1,0,0.4,1
Yao Ming,82,29,13.5,4.9,9.8,3.7,4.5,1.7,0,0,2.4,5.8,0.4,1.8,2.1,1
Gordan Giricek,76,28.3,12.3,4.6,10.6,2,2.4,1.8,1.1,3.3,0.5,2.7,0.7,0.1,1.9,1
Nene,80,28.2,10.5,4,7.7,2.5,4.3,1.9,0,0,2.6,3.5,1.6,0.8,2.3,1
Carlos Boozer,81,25.3,10,4.1,7.6,1.8,2.4,1.3,0,0,2.5,5,0.7,0.6,1.3,1
J.R. Bremer,64,23.5,8.3,2.7,7.3,1.3,1.7,2.6,1.6,4.5,0.3,2,0.6,0,0.9,0
Manu Ginobili,69,20.7,7.6,2.5,5.8,1.8,2.5,2,0.7,2.1,0.7,1.7,1.4,0.2,1.4,1
Marko Jaric,66,20.9,7.4,2.7,6.8,1.2,1.6,2.9,0.8,2.5,0.5,1.9,1.5,0.2,1.6,1
Mehmet Okur,72,19,6.9,2.5,5.9,1.3,1.8,1,0.5,1.6,1.6,3,0.3,0.5,0.9,1
Mike Dunleavy,82,15.9,5.7,2,5.1,1,1.2,1.3,0.6,1.8,0.8,1.8,0.6,0.2,1,1
Casey Jacobsen,72,15.9,5.1,1.7,4.5,1,1.5,1,0.7,2.3,0.4,0.8,0.5,0.1,0.8,1
Pat Burke,62,12.6,4.3,1.8,4.8,0.6,0.9,0.4,0,0.1,0.9,1.4,0.3,0.4,0.8,0
Marcus Haislip,39,11.3,4.1,1.7,3.9,0.7,1,0.2,0.1,0.3,0.5,0.8,0.2,0.5,0.5,1
Nikoloz Tskitishvili,81,16.3,3.9,1.4,4.9,0.6,0.8,1.1,0.5,1.9,0.8,1.4,0.4,0.4,1,0
Chris Wilcox,46,10.4,3.7,1.6,3,0.5,1.1,0.5,0,0,0.7,1.6,0.2,0.3,0.6,1
Dan Gadzuric,49,15.5,3.4,1.4,3,0.6,1.1,0.2,0,0,1.3,2.7,0.4,1.1,0.6,1
Igor Rakocevic,42,5.8,1.9,0.5,1.4,0.7,0.9,0.8,0.1,0.3,0.1,0.3,0.1,0,0.5,0
Jiri Welsch,37,6.3,1.6,0.5,2,0.6,0.8,0.7,0,0.1,0.3,0.4,0.2,0.1,0.5,0
Efthimios Rentzias,35,4.1,1.5,0.6,1.7,0.2,0.3,0.2,0.1,0.2,0.3,0.5,0.2,0.1,0.1,0
Pau Gasol,82,36.7,17.6,6.7,13,4.1,5.8,2.7,0,0.1,2.9,6,0.5,2.1,2.7,1
Andrei Kirilenko,82,26.3,10.7,3.5,7.7,3.5,4.5,1.1,0.3,1.2,1.8,3.1,1.4,1.9,1.3,1
Tony Parker,77,29.4,9.2,3.5,8.3,1.4,2.1,4.3,0.8,2.5,0.4,2.1,1.2,0.1,2,1
Zeljko Rebraca,74,15.9,6.9,2.6,5.1,1.8,2.4,0.5,0,0,1.1,2.8,0.4,1,1.1,0
Predrag Drobnjak,64,18.3,6.8,3,6.5,0.9,1.1,0.8,0,0,1.2,2.3,0.3,0.5,0.8,0
Vladimir Radmanovic,61,20.2,6.7,2.4,5.8,0.8,1.2,1.3,1.1,2.6,0.7,3,0.9,0.4,1.2,1
Oscar Torres,65,16.6,6,2.1,5.2,1.3,1.6,0.6,0.6,1.9,0.7,1.2,0.4,0.1,0.8,0
Will Solomon,62,14.2,5.2,1.8,5.3,0.8,1.2,1.5,0.7,2.6,0.2,0.9,0.6,0.1,1,1
Jason Collins,77,18.2,4.5,1.5,3.6,1.5,2.1,1.1,0,0,1.7,2.2,0.4,0.6,0.9,1
Etan Thomas,47,13.2,4.3,1.7,3.2,0.9,1.6,0.1,0,0,1.2,2.7,0.4,0.7,0.6,1
Joe Crispin,21,7.3,3.8,1.2,3.2,0.6,0.6,1.2,0.7,1.9,0.1,0.4,0.2,0,0.5,0
Gerald Wallace,54,8,3.2,1.4,3.2,0.4,0.9,0.5,0,0.1,0.9,0.7,0.4,0.1,0.4,1
Carlos Arroyo,37,10,3,1.3,3,0.4,0.5,1.9,0,0.1,0.3,0.8,0.3,0,0.6,1
Courtney Alexander,65,21.3,9.5,3.7,8.8,1.9,2.3,1,0.3,0.7,0.6,1.6,0.7,0.1,1.2,0
Hedo Turkoglu,74,16.8,5.3,1.9,4.5,1.2,1.5,0.9,0.4,1.2,0.7,2.2,0.7,0.3,0.7,1
Paul McPherson,55,10.8,4.8,2,3.9,0.8,1.1,0.7,0,0.2,0.7,0.7,0.5,0.1,0.9,0
Jamaal Magloire,74,14.8,4.6,1.6,3.7,1.3,2,0.4,0,0,1.4,2.6,0.2,1.1,0.8,1
Jake Tsakalidis,57,16.6,4.5,1.8,3.8,0.9,1.6,0.3,0,0,1.5,2.8,0.2,1,1.2,1
Hanno Mottola,73,13.5,4.4,1.7,3.8,1,1.2,0.3,0,0,0.7,1.7,0.2,0.1,0.9,0
Eduardo Najera,40,10.8,3.3,1.5,2.8,0.4,0.8,0.7,0,0.1,1,1.4,0.3,0.2,0.4,1
Dragan Tarlac,43,13.9,2.4,0.9,2.3,0.6,0.8,0.7,0,0,0.9,2,0.2,0.4,0.9,0
Dalibor Bagaric,35,7.4,1.3,0.5,1.9,0.4,0.8,0.3,0,0,0.6,1,0.3,0.5,0.6,0
Pepe Sanchez,29,5.2,0.7,0.3,1,0.1,0.1,1.4,0,0,0.1,0.4,0.4,0,0.2,0
Metta World Peace,72,31.1,12,4.3,10.5,2.6,3.9,2.8,0.8,2.7,0.9,3.4,1.7,0.5,2.3,1
Wally Szczerbiak,73,29.7,11.6,4.7,9.2,1.8,2.2,2.8,0.4,1.1,1.2,2.5,0.8,0.3,1.1,1
Shawn Marion,51,24.7,10.2,4.4,9.2,1.4,1.7,1.4,0.1,0.4,2.1,4.5,0.7,1,1,1
Eddie Robinson,67,16.6,7,3.2,5.8,0.7,1,0.5,0,0.1,0.8,1.9,0.7,0.4,0.6,0
Todd MacCulloch,56,9.4,3.7,1.6,2.9,0.5,1,0.2,0,0,0.9,1.8,0.2,0.7,0.5,0
Obinna Ekezie,39,9,3.2,1.1,2.3,1.1,1.6,0.2,0,0,0.9,1.5,0.2,0.1,0.7,1
Roy Rogers,40,8.9,2.2,0.9,2.2,0.5,1,0.2,0,0,0.8,1.2,0.1,1,0.3,0
Michael Dickerson,50,31.2,10.9,4.3,9.2,0.9,1.4,1.9,1.4,3.3,0.5,1.1,0.5,0.2,1.3,0
Felipe Lopez,47,25.9,9.3,3.6,8.1,1.9,2.9,1.3,0.3,0.9,1.5,2.1,1,0.3,1.7,0
Michael Olowokandi,45,28.4,8.9,3.8,8.9,1.3,2.6,0.6,0,0,2.7,5.3,0.6,1.2,1.9,1
Peja Stojakovic,48,21.4,8.4,2.9,7.8,1.3,1.5,1.5,1.2,3.7,0.9,2.1,0.9,0.1,1.1,1
Dirk Nowitzki,47,20.4,8.2,2.9,7.1,2.1,2.7,1,0.3,1.4,0.9,2.6,0.6,0.6,1.6,1
Kornel David,50,18,6.2,2.2,4.9,1.8,2.2,0.8,0,0,1.4,2.1,0.5,0.3,1,0
Vladimir Stepania,23,13.6,5.5,2.3,5.4,0.9,1.7,0.5,0,0.1,1.2,2.1,0.4,1,1.4,1
Ricky Davis,46,12.1,4.5,1.8,4.3,1,1.3,1.3,0,0.3,0.9,1,0.7,0.2,1.2,1
Corey Benjamin,31,10.3,3.8,1.4,3.8,0.9,1.3,0.3,0.1,0.5,0.5,0.8,0.4,0.3,0.7,0
Charles R. Jones,29,16.4,3.7,1.3,4.2,0.4,0.8,1.4,0.7,2.1,0.3,1.1,0.6,0.2,1,0
Bryce Drew,34,13,3.5,1.4,3.8,0.2,0.2,1.5,0.5,1.4,0.1,0.9,0.4,0.1,0.9,1
Gerald Brown,33,7.2,2.4,1,2.7,0.3,0.4,0.9,0.1,0.3,0.2,0.5,0.2,0,0.7,0
Nazr Mohammed,26,4.7,1.6,0.6,1.6,0.5,0.8,0.1,0,0,0.7,0.7,0.2,0.2,0.5,1
Tim Duncan,82,39.1,21.1,8.6,15.7,3.9,5.9,2.7,0,0.1,3.3,8.6,0.7,2.5,3.4,1
Ron Mercer,80,33.3,15.3,6.4,14.3,2.4,2.8,2.2,0,0.4,1.4,2.1,1.6,0.2,1.7,1
Zydrunas Ilgauskas,82,29,13.9,5.5,10.7,2.8,3.7,0.9,0,0,3.4,5.4,0.6,1.6,1.8,1
Cedric Henderson,82,30.8,10.1,4.2,8.8,1.7,2.3,2,0,0,0.9,3.1,1.2,0.5,2,0
Tracy McGrady,64,18.4,7,2.8,6.2,1.2,1.7,1.5,0.2,0.6,1.6,2.6,0.8,1,1,1
Tariq Abdul-Wahad,59,16.3,6.4,2.4,6.1,1.4,2.1,0.9,0.1,0.3,0.7,1.2,0.6,0.2,1.1,1
Chris Anstey,41,16.6,5.9,2.2,5.6,1.3,1.8,0.9,0.1,0.4,1.3,2.5,0.8,0.7,1,0
Michael Stewart,81,21.7,4.6,1.9,4,0.8,1.8,0.8,0,0,2.4,4.2,0.4,2.4,1,1
Charles Smith,34,8.6,3.5,1.4,3.7,0.2,0.3,0.6,0.4,1.4,0.4,0.4,0.4,0.2,0.8,1
Adonal Foyle,55,11.9,3,1.3,3.1,0.5,1.1,0.3,0,0,1.3,2,0.2,0.9,0.9,1
John Thomas,54,9.9,2.8,1,2.1,0.8,1,0.3,0,0,0.9,1.1,0.4,0.2,0.9,1
Allen Iverson,76,40,23.5,8.2,19.8,5,7.2,7.5,2,6,1.5,2.6,2.1,0.3,4.4,1
Shareef Abdur-Rahim,80,35.1,18.7,6.9,15.2,4.8,6.5,2.2,0.1,0.3,2.7,4.2,1,1,2.8,1
Antoine Walker,82,36.2,17.5,7,16.5,2.8,4.5,3.2,0.6,1.9,3.5,5.5,1.3,0.6,2.8,1
Kerry Kittles,82,36.8,16.4,6.2,14.5,2.1,2.8,3,1.9,5.1,1.3,2.6,1.9,0.4,1.5,1
Marcus Camby,63,30,14.8,6,12.3,2.9,4.2,1.5,0,0.2,2.1,4.2,1,2.1,2.1,1
Ray Allen,82,31,13.4,4.8,11.1,2.5,3,2.6,1.4,3.6,1.2,2.8,0.9,0.1,1.8,1
Lorenzen Wright,77,25.2,7.3,3.1,6.4,1.1,1.9,0.6,0,0.1,2.7,3.4,0.6,0.8,1,1
Vitaly Potapenko,80,15.5,5.8,2.3,5.3,1.2,1.6,0.5,0,0,1.3,1.4,0.3,0.4,1.4,1
Todd Fuller,75,12.6,4.1,1.5,3.5,1,1.5,0.3,0,0,1.4,1.9,0.1,0.3,0.7,0
Martin Muursepp,42,8.3,3.7,1.3,3.1,1,1.7,0.5,0.1,0.6,0.8,0.8,0.3,0.3,0.4,0
Steve Nash,65,10.6,3.3,1.1,2.7,0.6,0.8,2.1,0.4,0.8,0.2,0.7,0.3,0,1,1
Ray Owes,57,10.4,3.1,1.3,3.2,0.5,0.8,0.3,0,0.1,1.1,1.7,0.3,0.4,0.4,0
Steve Hamer,35,7.6,2.2,0.9,1.6,0.5,0.8,0.2,0,0.1,0.5,1.2,0.1,0.1,0.4,0
Walter McCarty,35,5.4,1.8,0.7,1.9,0.2,0.4,0.4,0.1,0.4,0.2,0.4,0.2,0.3,0.5,1
Shane Heal,43,5.3,1.7,0.6,2.3,0.1,0.1,0.8,0.5,1.5,0,0.4,0.1,0.1,0.4,1
Mark Bradtke,36,6.9,1.6,0.7,1.6,0.3,0.4,0.2,0,0,0.7,1.2,0.1,0.1,0.3,0
Arvydas Sabonis,73,23.8,14.5,5.4,9.9,3.2,4.2,1.8,0.5,1.4,2,6,0.9,1.1,2.1,1
Tyus Edney,80,31,10.8,3.8,9.3,2.5,3.2,6.1,0.7,1.8,0.8,1.7,1.1,0,2.4,1
Rasheed Wallace,65,27.5,10.1,4.2,8.7,1.2,1.8,1.3,0.4,1.3,1.4,3.2,0.6,0.8,1.6,1
Theo Ratliff,75,17.4,4.5,1.7,3.1,1.1,1.6,0.2,0,0,1.5,2.5,0.2,1.5,0.7,1
George Zidek,71,12.5,4,1.5,3.5,1,1.3,0.2,0,0,1,1.6,0.1,0.1,0.5,0
Mark Davis,57,10,3.3,1,2.6,1.3,2,0.8,0.1,0.2,1,1.2,0.7,0.4,1.2,0
Junior Burrough,61,8.1,3.1,1,2.8,1,1.5,0.2,0,0,0.7,1,0.2,0.2,0.7,0
Marques Bragg,53,7,2.5,1,2.3,0.4,0.8,0.2,0,0,0.7,0.8,0.3,0.2,0.5,0
Todd Mundt,33,4.6,1.1,0.5,1.2,0.2,0.2,0.1,0,0,0.3,0.5,0.1,0.2,0.1,0
Glenn Robinson,80,37,21.9,8,17.6,5,6.2,2.5,1.1,3.4,2.1,4.3,1.4,0.3,3.9,1
Juwan Howard,65,36.1,17,7,14.3,3,4.5,2.5,0,0.1,2.8,5.6,0.8,0.2,2.6,1
Brian Grant,80,28.6,13.2,5.2,10.1,2.9,4.5,1.2,0,0.1,2.6,4.9,0.6,1.5,2,1
Carlos Rogers,49,20.8,8.9,3.7,6.9,1.6,3,0.8,0,0.3,2.2,3.5,0.4,1.1,1.7,1
Michael Smith,82,21.2,6.9,2.7,5,1.5,3.2,0.8,0,0,2.1,3.8,0.7,0.6,1.3,1
Clifford Rozier,66,22.6,6.8,2.9,5.9,1,2.3,0.7,0,0.1,3,4.3,0.5,0.6,1.3,0
Greg Minor,63,15,6,2.5,4.8,1,1.2,1,0,0.2,0.8,1.4,0.5,0.3,0.7,0
Derrick Alston,64,16.1,4.7,1.9,4,0.9,1.9,0.5,0,0.1,1.5,1.9,0.6,0.5,0.8,0
Anthony Miller,46,11.5,4.1,1.5,2.9,1,1.7,0.8,0,0.1,1.5,1.8,0.4,0.2,0.8,1
Jamie Watson,60,11.2,3.3,1.3,2.5,0.6,0.9,1,0.1,0.3,0.3,1,0.6,0.2,0.9,0
Zan Tabak,37,4.9,2,0.6,1.4,0.7,1.2,0.1,0,0,0.6,0.9,0.1,0.2,0.5,1
Isaiah Rider,79,30.6,16.6,6.6,14.1,2.7,3.4,2.6,0.7,1.9,1.5,2.5,0.7,0.4,2.8,1
Dino Radja,80,28.8,15.1,6.1,11.8,2.8,3.8,1.4,0,0,2.4,4.8,0.9,0.8,1.9,0
Nick Van Exel,81,33.3,13.6,5.1,13,1.9,2.4,5.8,1.5,4.5,0.6,2.4,1,0.1,1.8,1
Calbert Cheaney,65,24.7,12,5,10.7,1.9,2.5,1.9,0,0.4,1.4,1.6,1,0.2,1.7,1
Toni Kukoc,75,24.1,10.9,4.2,9.7,2.1,2.8,3.4,0.4,1.6,1.3,2.7,1.1,0.4,2.2,1
Shawn Bradley,49,28.3,10.3,4.1,10,2.1,3.4,2,0,0.1,2,4.2,0.9,3,3,1
Gheorghe Muresan,54,12,5.6,2.4,4.4,0.9,1.3,0.3,0,0,1.2,2.3,0.5,0.9,1,1
Terry Dehere,64,11.9,5.3,2,5.3,1,1.3,1.2,0.4,0.9,0.4,0.7,0.4,0,1,1
Greg Graham,70,12.7,4.8,1.7,4.4,1.3,1.6,0.9,0,0.4,0.3,0.9,0.9,0.1,0.9,0
Warren Kidd,68,13,3.6,1.5,2.5,0.7,1.3,0.3,0,0,1.1,2.3,0.3,0.3,0.6,0
Josh Grant,53,7.2,3,1.1,2.8,0.4,0.5,0.5,0.3,1.2,0.5,1.2,0.3,0.2,0.6,0
Bob Martin,53,10.1,2.1,0.8,1.7,0.6,1,0.3,0,0,0.7,1.5,0.2,0.6,0.5,0
Shaquille O'Neal,81,37.9,23.4,9,16.1,5.3,8.9,1.9,0,0,4.2,9.6,0.7,3.5,3.8,1
Alonzo Mourning,78,33.9,21,7.3,14.3,6.3,8.1,1,0,0,3.4,6.9,0.3,3.5,3,1
Clar. Weatherspoon,82,32.4,15.6,6,12.8,3.5,5,1.8,0,0,2.2,5,1,0.8,2.1,1
Tom Gugliotta,81,34.5,14.7,6,14,2.2,3.5,3.8,0.5,1.7,2.7,6.9,1.7,0.4,2.8,1
Andre Spencer,20,21.1,9.4,3.7,8.2,2.1,2.7,1.2,0,0.1,1.9,2.2,0.9,0.4,1.3,0
Dexter Cambridge,53,16.7,7,2.8,5.9,1.3,1.9,1.1,0,0.1,1.7,1.5,0.5,0.1,1.2,0
Tracy Murray,48,10.3,5.7,2.3,5.4,0.7,0.8,0.2,0.4,1.5,0.8,0.9,0.2,0.1,0.6,1
Chris Smith,80,15.8,4.3,1.6,3.6,1.2,1.5,2.5,0,0.2,0.4,0.8,0.6,0.2,0.9,0
Sam Mack,40,6.7,3.6,1.2,3,1.1,1.5,0.4,0.1,0.6,0.5,0.8,0.4,0.1,0.6,1
Elmore Spencer,44,6.4,2.4,1,1.9,0.4,0.7,0.2,0,0,0.4,1,0.2,0.4,0.6,0
Stephen Howard,49,5.3,2.1,0.7,1.9,0.7,1.1,0.2,0,0,0.5,0.7,0.3,0.2,0.5,1
Larry Johnson,82,37.2,19.2,7.5,15.3,4.1,5,3.6,0.1,0.3,3.9,7,1,0.6,2,1
Dikembe Mutombo,71,38.3,16.6,6,12.2,4.5,7,2.2,0,0,4.5,7.8,0.6,3,3.5,1
Steven Smith,61,29.6,12,4.9,10.7,1.6,2.1,4.6,0.7,2,1.3,1.8,1,0.3,2.5,1
Bison Dele,48,18.9,9.1,3.6,6.8,2,3,0.7,0,0,2.4,3.3,0.9,1.1,1.8,1
Doug Smith,76,22.5,8.8,3.8,9.2,1.2,1.6,1.7,0,0.1,1.7,3.4,0.8,0.4,1.3,0
Tracy Moore,42,18.6,8.5,3.1,7.7,1.5,1.9,1.1,0.7,2,0.7,1.2,0.8,0.1,1,1
Donald Hodge,51,20.7,8.4,3.2,6.4,2,2.9,0.8,0,0,2.3,3.1,0.5,0.5,1.5,0
Rick Fox,81,19,8,3,6.5,1.7,2.3,1.6,0.3,0.9,0.9,1.8,1,0.4,1.5,1
